top - 15:55:59 up  3:04,  3 users,  load average: 0.02, 0.04, 0.05
Tasks: 257 total,   2 running, 255 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.8 us,  5.6 sy,  0.0 ni, 91.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  1867052 total,   416140 free,   706688 used,   744224 buff/cache
  2314 e3base    20   0  344556   3452   2852 S   0.0  0.2   0:00.03 at-spi-bu+
  2319 e3base    20   0   55824   2264   1780 S   0.0  0.1   0:00.03 dbus-daem+
  2321 e3base    20   0  228772   3924   3188 S   0.0  0.2   0:00.04 at-spi2-r+
  2340 e3base    20   0 1926576 110520  43680 S   0.0  5.9   0:10.31 gnome-she+
  2348 e3base     9 -11 1279184   7196   4336 S   0.0  0.4   0:00.91 pulseaudio
  2362 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 krfcommd
  2364 e3base    20   0  450960   5452   3440 S   0.0  0.3   0:00.08 ibus-daem+
  2369 e3base    20   0  373804   3692   3100 S   0.0  0.2   0:00.02 ibus-dconf
  2373 e3base    20   0  438488   8072   6248 S   0.0  0.4   0:00.07 ibus-x11
  2387 e3base    20   0  902796  28212  18264 S   0.0  1.5   0:00.41 gnome-she+
  2390 e3base    20   0  424676   5120   3900 S   0.0  0.3   0:00.01 xdg-permi+
  2398 e3base    20   0  478812   7304   5764 S   0.0  0.4   0:00.40 mission-c+
  2400 e3base    20   0  555096   9840   4308 S   0.0  0.5   0:00.20 gvfs-udis+
  2408 e3base    20   0  905120  25528  17776 S   0.0  1.4   0:00.32 goa-daemon
  2409 root      20   0  377636   7196   3868 S   0.0  0.4   0:00.30 udisksd
  2448 e3base    20   0 1339252  27356  20564 S   0.0  1.5   0:00.68 evolution+
  2458 e3base    20   0  532040   9420   5648 S   0.0  0.5   0:00.90 goa-ident+
  2470 e3base    20   0  387436   3448   2792 S   0.0  0.2   0:00.05 gvfs-mtp-+
  2478 e3base    20   0  396504   3684   2888 S   0.0  0.2   0:00.03 gvfs-gpho+
  2484 e3base    20   0  369408   3380   2788 S   0.0  0.2   0:00.03 gvfs-goa-+
  2491 e3base    20   0  478384   4328   3416 S   0.0  0.2   0:00.04 gvfs-afc-+
  2503 e3base    20   0 1299460  27140  16684 S   0.0  1.5   0:02.47 gnome-set+
  2522 e3base    20   0 1155652  30072  18500 S   0.0  1.6   0:01.86 nautilus-+
  2526 e3base    20   0  614976   9180   5368 S   0.0  0.5   0:00.08 gsd-print+
  2542 e3base    20   0  462696   4724   3680 S   0.0  0.3   0:00.06 gvfsd-tra+
  2562 e3base    20   0 1111784  61736  20872 S   0.0  3.3   0:01.02 evolution+
  2577 e3base    20   0  592280  17568   6796 S   0.0  0.9   0:19.46 tracker-s+
  2583 e3base    20   0  385336  18724  14964 S   0.0  1.0   0:25.94 vmtoolsd
  2595 e3base    20   0  549424  21692  14780 S   0.0  1.2   0:00.74 abrt-appl+
  2606 e3base    39  19  806116  13868   8108 S   0.0  0.7   1:50.84 tracker-e+
  2611 e3base    39  19  699708  12584   7536 S   0.0  0.7   0:00.13 tracker-m+
  2620 e3base    39  19  642880  11836   8504 S   0.0  0.6   0:03.33 tracker-m+
  2625 e3base    39  19  555612  11996   7212 S   0.0  0.6   0:00.10 tracker-m+
  2631 e3base    20   0  177536   3200   2496 S   0.0  0.2   0:00.06 gconfd-2
  2661 e3base    20   0  300136   3568   3000 S   0.0  0.2   0:00.01 ibus-engi+
  2757 e3base    20   0 1051216  59360  19276 S   0.0  3.2   0:00.52 evolution+
  2790 e3base    20   0  185180   2860   2332 S   0.0  0.2   0:00.01 dconf-ser+
  2850 e3base    20   0 1213828  63452  19228 S   0.0  3.4   0:00.51 evolution+
  2949 e3base    20   0 1066708  26748  20276 S   0.0  1.4   0:00.21 evolution+
  3038 e3base    20   0 1245468  32564  21788 S   0.0  1.7   0:00.44 evolution+
  3051 e3base    20   0  313640   3376   2788 S   0.0  0.2   0:01.38 gvfsd-met+
  3168 e3base    20   0  307204   6320   3424 S   0.0  0.3   0:00.07 glib-pacr+
  3193 root      20   0  150448   5568   4264 S   0.0  0.3   0:00.25 sshd
